Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Val-d'Oise;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Val-d'Oise
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Val-de-Marne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Val-de-Marne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Var;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Var
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vaucluse;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vaucluse
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vendée;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vendée
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vienne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vienne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vosges;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Vosges
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Yonne;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Yonne
Agence de services et de paiement;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Yvelines;;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations;Registre Parcellaire Graphique : contours des îlots culturaux et leur groupe de cultures majoritaire des exploitations - Yvelines
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 39;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 39
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 40;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 40
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 41;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 41
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 42;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 42
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 43;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 43
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 44;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 44
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 45;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 45
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 46 2011;;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE;COTATION DES CARCASSES D'AGNEAUX ET BREBIS DE BOUCHERIE semaine 46 2011
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 39;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 39
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 40;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 40
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 41;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 41
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 42;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 42
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 43;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 43
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 44;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 44
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 45;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 45
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 46 2011;;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES;COTATION DES VEAUX DE 8 JOURS A 3 SEMAINES semaine 46 2011
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS semaine 39;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS semaine 39
FranceAgriMer - Établissement national des produits de l'agriculture et de la mer;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS semaine 40;;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS;COTATION DES VEAUX DE BOUCHERIE ELEVES AU PIS semaine 40
